doc_id,doc_rel,doc_score,ktau,query_id,top_feat
LA022790-0091,0,9.807556,0.33522458628841606,401,10
FBIS3-20090,1,9.290847,0.523076923076923,401,10
FT941-4506,0,9.233107,0.35555555555555557,401,10
FBIS4-18372,0,9.083562,0.3555555555555555,401,10
FT924-4470,1,8.691005,0.1975308641975308,401,10
LA101290-0115,1,11.674699,0.5777777777777777,402,10
LA072489-0053,0,10.390393,0.5733333333333335,402,10
LA100890-0105,0,9.990089,0.5866666666666667,402,10
LA030690-0022,0,9.987107,0.5844444444444443,402,10
LA020789-0112,0,9.914637,0.06666666666666664,402,10
LA030689-0082,0,10.093675,0.5082437275985663,403,10
LA083089-0024,0,9.708849,0.06810035842293904,403,10
FR940525-1-00062,1,9.441388,-0.06464646464646463,403,10
LA071290-0133,1,9.441388,0.2619047619047619,403,10
FR940525-1-00078,1,9.323615,0.36014109347442697,403,10
FBIS4-14340,0,11.890872,0.3172839506172839,404,10
FT934-17386,0,11.085657,0.3659259259259258,404,10
FT934-8237,0,10.767681,0.30370370370370364,404,10
FT934-9649,0,10.700646,0.19111111111111112,404,10
FT934-17378,0,10.673793,0.16944444444444443,404,10
FBIS3-42549,0,12.6898575,0.5962962962962963,405,10
FBIS3-59742,0,11.0759945,0.4052910052910053,405,10
FBIS3-40213,0,10.533146,0.30833333333333324,405,10
FBIS3-42550,0,10.375032,0.511111111111111,405,10
LA012289-0002,0,10.119149,0.3185185185185185,405,10
LA121189-0042,0,14.436002,0.4246913580246913,406,10
FT922-4560,0,13.775206,0.4439716312056738,406,10
LA051790-0095,1,13.43512,-0.05608465608465608,406,10
LA111589-0149,0,13.344221,0.5555555555555555,406,10
LA080489-0045,1,13.305286,0.3424836601307189,406,10
LA050889-0063,1,15.4146805,0.3650793650793651,407,10
LA012589-0100,1,13.370525,0.06873385012919896,407,10
FT941-15416,1,13.210795,0.04183006535947712,407,10
LA012489-0067,0,13.210795,0.5095238095238094,407,10
FT921-6003,1,13.190692,0.7734417344173441,407,10
LA060689-0099,0,14.307083,0.4537373737373737,408,10
LA082189-0033,0,14.284037,0.2523809523809523,408,10
LA082889-0052,0,13.61459,0.4675381263616557,408,10
FT923-1747,1,13.408705,0.6079012345679012,408,10
LA092390-0028,1,13.408705,0.4399999999999999,408,10
FT941-758,1,13.520545,0.4928104575163399,409,10
FT923-13692,1,12.870329,0.34006734006734,409,10
FT923-13817,1,11.633671,0.15095785440613027,409,10
LA110489-0092,0,11.46385,0.4620689655172413,409,10
LA041689-0098,0,11.176984,0.1222222222222222,409,10
FBIS4-64577,1,12.05719,0.14329501915708812,410,10
FBIS3-59001,1,11.296025,0.3386666666666666,410,10
FT931-16236,0,11.077779,0.5695238095238097,410,10
FBIS3-39341,1,10.944582,0.505263157894737,410,10
FT932-16523,1,10.917326,0.09841269841269838,410,10
LA101289-0146,1,18.396696,0.43174603174603166,411,10
FT922-4205,1,17.11045,0.07777777777777775,411,10
FT934-6249,0,15.800142,0.25925925925925924,411,10
LA050490-0070,0,15.5291195,0.2977777777777777,411,10
LA041589-0050,1,15.266436,0.5252525252525252,411,10
LA041890-0141,0,8.366061,0.11895424836601307,412,10
FT933-6584,1,8.080351,0.2347222222222222,412,10
LA021489-0071,1,8.027657,0.589873417721519,412,10
FBIS4-1468,1,7.752486,-0.09239766081871345,412,10
FT943-8889,0,7.5650406,0.28148148148148144,412,10
FBIS4-51135,0,8.786941,0.15226337448559665,413,10
FT943-2620,0,8.498466,0.5472222222222222,413,10
FBIS3-7699,0,8.378071,0.01563786008230453,413,10
FBIS3-40861,0,8.363681,0.031111111111111135,413,10
FBIS4-27541,0,8.3462105,0.28070175438596484,413,10
LA040590-0222,0,14.256916,0.5127272727272727,414,10
FT921-9644,1,13.95374,0.5162393162393162,414,10
LA061890-0107,0,13.594603,0.6230019493177387,414,10
FT921-8261,0,13.446551,0.47251461988304094,414,10
FT943-11487,0,13.357056,0.12063492063492062,414,10
FT921-3261,1,16.829954,0.26666666666666666,415,10
FBIS3-60083,1,16.679523,0.6030441400304414,415,10
FBIS3-60025,1,15.317625,0.48055555555555546,415,10
FBIS4-2802,1,14.865173,0.04634920634920635,415,10
FBIS4-21166,1,14.74885,0.38518518518518513,415,10
FBIS3-45089,0,11.886904,-0.03636363636363635,416,10
FBIS3-25805,0,11.684843,0.252991452991453,416,10
FBIS4-66355,1,11.587604,0.39999999999999997,416,10
FBIS3-46276,1,11.393773,0.5222222222222221,416,10
FBIS3-3711,0,11.3775835,-0.012698412698412685,416,10
LA092989-0114,1,6.5508046,0.05833333333333334,417,10
FBIS4-25449,0,6.510442,-0.00740740740740741,417,10
LA092989-0098,1,6.3569546,-0.09841269841269838,417,10
FT931-3244,0,6.223255,0.27999999999999997,417,10
LA082990-0115,0,6.203093,0.0311111111111111,417,10
LA102189-0167,1,9.719133,0.2888888888888889,418,10
LA051889-0088,1,9.578237,0.2850241545893719,418,10
LA022490-0006,0,9.041793,0.18518518518518517,418,10
LA081189-0137,1,9.041793,0.18830409356725145,418,10
LA060890-0112,1,9.031743,0.37373737373737365,418,10
FBIS3-41645,0,14.722347,0.5019157088122606,419,10
FBIS3-41503,0,14.377756,0.3584045584045583,419,10
LA040190-0174,1,13.241081,0.5563492063492063,419,10
FBIS4-67400,0,12.673786,0.5687687687687689,419,10
LA020890-0157,0,12.07088,0.17992831541218637,419,10
LA121590-0108,1,20.49439,0.5214814814814814,420,10
LA011690-0088,0,20.386726,0.6207407407407408,420,10
LA010390-0086,1,19.058653,0.5121951219512195,420,10
LA011989-0129,1,18.77626,0.5867124856815576,420,10
LA020689-0022,1,18.654099,0.09753086419753089,420,10
FT931-2779,0,12.33889,0.3417989417989417,421,10
FT933-4383,0,11.8105,0.5512195121951218,421,10
FBIS4-53866,0,11.026218,0.2398148148148148,421,10
LA040790-0126,0,11.001229,0.3083333333333333,421,10
FBIS3-22152,0,10.826214,0.36363636363636365,421,10
LA062890-0110,0,12.604323,0.19215686274509802,422,10
FT944-2627,0,12.381614,0.6413526570048307,422,10
FT944-2524,0,11.491346,0.20610021786492372,422,10
FBIS4-36101,0,10.959179,0.2777777777777778,422,10
LA101489-0065,1,10.825184,0.17117117117117114,422,10
FT942-11666,1,22.477549,-0.0804597701149425,423,10
FT933-2528,1,22.29892,0.589937106918239,423,10
FT944-439,1,22.112698,0.2598290598290598,423,10
FBIS4-32072,1,21.894691,0.2034188034188034,423,10
FT943-7734,1,21.871471,0.39579579579579577,423,10
FT944-3141,0,7.051557,0.4035555555555554,424,10
LA103190-0037,0,7.051557,0.1407407407407407,424,10
LA111689-0152,0,7.051557,0.24597701149425288,424,10
LA072689-0058,0,7.0358224,0.15555555555555553,424,10
LA052890-0009,0,6.9870763,0.47638888888888886,424,10
FBIS4-26260,1,11.445114,0.33481481481481473,425,10
LA091590-0091,1,11.0711155,0.4962962962962963,425,10
