doc_id,doc_rel,doc_score,ktau,query_id,top_feat
LA022790-0091,0,9.807556,0.8246023715004801,401,30
FBIS3-20090,1,9.290847,0.8235547489413189,401,30
FT941-4506,0,9.233107,0.6984474359897296,401,30
FBIS4-18372,0,9.083562,0.6846355423111491,401,30
FT924-4470,1,8.691005,0.7601235478517426,401,30
LA101290-0115,1,11.674699,0.8064395875296876,402,30
LA072489-0053,0,10.390393,0.9131086729362591,402,30
LA100890-0105,0,9.990089,0.5668142840556634,402,30
LA030690-0022,0,9.987107,0.8664883624669659,402,30
LA020789-0112,0,9.914637,0.3386183398930859,402,30
LA030689-0082,0,10.093675,0.9614982347163601,403,30
LA083089-0024,0,9.708849,0.7768992001695005,403,30
FR940525-1-00062,1,9.441388,0.5526816520691697,403,30
LA071290-0133,1,9.441388,0.799957883653593,403,30
FR940525-1-00078,1,9.323615,0.7210793264353824,403,30
FBIS4-14340,0,11.890872,0.8117458481703544,404,30
FT934-17386,0,11.085657,0.8422566014290152,404,30
FT934-8237,0,10.767681,0.7429404156875604,404,30
FT934-9649,0,10.700646,0.8877414324697878,404,30
FT934-17378,0,10.673793,0.7532737335036186,404,30
FBIS3-42549,0,12.6898575,0.6373792187571553,405,30
FBIS3-59742,0,11.0759945,0.3689734275265755,405,30
FBIS3-40213,0,10.533146,0.5806463696335296,405,30
FBIS3-42550,0,10.375032,0.8361824198633222,405,30
LA012289-0002,0,10.119149,0.8372505914620104,405,30
LA121189-0042,0,14.436002,0.892122110987517,406,30
FT922-4560,0,13.775206,0.8460995929882305,406,30
LA051790-0095,1,13.43512,0.7794934538523642,406,30
LA111589-0149,0,13.344221,0.905450417327812,406,30
LA080489-0045,1,13.305286,0.9240831964969896,406,30
LA050889-0063,1,15.4146805,0.7802176245210728,407,30
LA012589-0100,1,13.370525,0.8411794102948525,407,30
FT941-15416,1,13.210795,0.8173658853461808,407,30
LA012489-0067,0,13.210795,0.8020146659562051,407,30
FT921-6003,1,13.190692,0.7019256994709946,407,30
LA060689-0099,0,14.307083,0.9078917564278657,408,30
LA082189-0033,0,14.284037,0.8633973819844298,408,30
LA082889-0052,0,13.61459,0.7651573095092714,408,30
FT923-1747,1,13.408705,0.23249592234554645,408,30
LA092390-0028,1,13.408705,0.7926191332340199,408,30
FT941-758,1,13.520545,0.8238682022182678,409,30
FT923-13692,1,12.870329,0.9107984025311695,409,30
FT923-13817,1,11.633671,0.8280911008183734,409,30
LA110489-0092,0,11.46385,0.8535011708210011,409,30
LA041689-0098,0,11.176984,0.7831984946004578,409,30
FBIS4-64577,1,12.05719,0.8665078581181186,410,30
FBIS3-59001,1,11.296025,0.8926150854920799,410,30
FT931-16236,0,11.077779,0.7632255079890395,410,30
FBIS3-39341,1,10.944582,0.8565987633246083,410,30
FT932-16523,1,10.917326,0.8713529744763593,410,30
LA101289-0146,1,18.396696,0.7484103455705889,411,30
FT922-4205,1,17.11045,0.8688409697814087,411,30
FT934-6249,0,15.800142,0.8662732095490717,411,30
LA050490-0070,0,15.5291195,0.8413911235543585,411,30
LA041589-0050,1,15.266436,0.8167104380549588,411,30
LA041890-0141,0,8.366061,0.7534556305028473,412,30
FT933-6584,1,8.080351,0.8009996836444163,412,30
LA021489-0071,1,8.027657,0.8983903301187385,412,30
