doc_id,doc_rel,doc_score,ktau,query_id,top_feat
LA022790-0091,0,9.807556,0.21226053639846737,401,10
FBIS3-20090,1,9.290847,0.5313131313131313,401,10
FT941-4506,0,9.233107,0.3714285714285714,401,10
FBIS4-18372,0,9.083562,0.25079365079365074,401,10
FT924-4470,1,8.691005,0.5479905437352247,401,10
LA101290-0115,1,11.674699,0.5906432748538011,402,10
LA072489-0053,0,10.390393,0.35424836601307186,402,10
LA100890-0105,0,9.990089,0.5955995599559957,402,10
LA030690-0022,0,9.987107,0.5504273504273504,402,10
LA020789-0112,0,9.914637,0.3252525252525252,402,10
LA030689-0082,0,10.093675,0.1037037037037037,403,10
LA083089-0024,0,9.708849,0.0,403,10
FR940525-1-00062,1,9.441388,-0.019047619047619074,403,10
LA071290-0133,1,9.441388,0.18279569892473113,403,10
FR940525-1-00078,1,9.323615,0.35555555555555546,403,10
FBIS4-14340,0,11.890872,-0.14782608695652172,404,10
FT934-17386,0,11.085657,0.3366255144032922,404,10
FT934-8237,0,10.767681,-0.07407407407407406,404,10
FT934-9649,0,10.700646,-0.04836601307189543,404,10
FT934-17378,0,10.673793,0.43999999999999995,404,10
FBIS3-42549,0,12.6898575,0.20211640211640208,405,10
FBIS3-59742,0,11.0759945,0.2101010101010101,405,10
FBIS3-40213,0,10.533146,0.5879879879879881,405,10
FBIS3-42550,0,10.375032,0.3111111111111111,405,10
LA012289-0002,0,10.119149,0.1654320987654321,405,10
LA121189-0042,0,14.436002,0.3391304347826086,406,10
FT922-4560,0,13.775206,0.500246913580247,406,10
LA051790-0095,1,13.43512,0.32666666666666666,406,10
LA111589-0149,0,13.344221,0.05481481481481481,406,10
LA080489-0045,1,13.305286,0.2512820512820513,406,10
LA050889-0063,1,15.4146805,0.34888888888888886,407,10
LA012589-0100,1,13.370525,0.2355555555555555,407,10
FT941-15416,1,13.210795,0.020444444444444456,407,10
LA012489-0067,0,13.210795,0.34518518518518504,407,10
FT921-6003,1,13.190692,0.6505263157894736,407,10
LA060689-0099,0,14.307083,0.6333333333333332,408,10
LA082189-0033,0,14.284037,0.489308176100629,408,10
LA082889-0052,0,13.61459,0.24967320261437903,408,10
FT923-1747,1,13.408705,0.16101364522417153,408,10
