doc_id,doc_rel,doc_score,ktau,query_id,top_feat
LA022790-0091,0,9.807556,0.8626577821117071,401,15
FBIS3-20090,1,9.290847,0.9153087797619048,401,15
FT941-4506,0,9.233107,0.9207068372116917,401,15
FBIS4-18372,0,9.083562,0.8383433101439897,401,15
FT924-4470,1,8.691005,0.8581207116151034,401,15
LA101290-0115,1,11.674699,0.9165326940252903,402,15
LA072489-0053,0,10.390393,0.6390845070422535,402,15
LA100890-0105,0,9.990089,0.7487573099415205,402,15
LA030690-0022,0,9.987107,0.9711085160676441,402,15
LA020789-0112,0,9.914637,0.8925237622357782,402,15
LA030689-0082,0,10.093675,0.918196675119752,403,15
LA083089-0024,0,9.708849,0.8020230012470556,403,15
FR940525-1-00062,1,9.441388,0.6685927842460831,403,15
LA071290-0133,1,9.441388,0.8584836181663678,403,15
FR940525-1-00078,1,9.323615,0.8516142050040354,403,15
FBIS4-14340,0,11.890872,0.8816477702191988,404,15
FT934-17386,0,11.085657,0.7799885042224876,404,15
FT934-8237,0,10.767681,0.842857142857143,404,15
FT934-9649,0,10.700646,0.9046594982078853,404,15
FT934-17378,0,10.673793,0.9866581822038392,404,15
FBIS3-42549,0,12.6898575,0.7317837555497518,405,15
FBIS3-59742,0,11.0759945,0.9361887350918429,405,15
FBIS3-40213,0,10.533146,0.8897253507212015,405,15
FBIS3-42550,0,10.375032,0.8709141535702487,405,15
LA012289-0002,0,10.119149,0.9026991058432107,405,15
LA121189-0042,0,14.436002,0.8680286849300933,406,15
FT922-4560,0,13.775206,0.8114971179311419,406,15
LA051790-0095,1,13.43512,0.8583011583011583,406,15
LA111589-0149,0,13.344221,0.9079423977383162,406,15
LA080489-0045,1,13.305286,0.8601060055924209,406,15
LA050889-0063,1,15.4146805,0.8988820548528105,407,15
LA012589-0100,1,13.370525,0.8356477786645384,407,15
FT941-15416,1,13.210795,0.8886088760690248,407,15
LA012489-0067,0,13.210795,0.829137199434229,407,15
FT921-6003,1,13.190692,0.7008270972823947,407,15
LA060689-0099,0,14.307083,0.908087679516251,408,15
LA082189-0033,0,14.284037,0.9325483520121057,408,15
LA082889-0052,0,13.61459,0.8211334487196557,408,15
FT923-1747,1,13.408705,0.839199619997625,408,15
LA092390-0028,1,13.408705,0.8603464786280143,408,15
FT941-758,1,13.520545,0.8892424766516777,409,15
FT923-13692,1,12.870329,0.8731016731016732,409,15
FT923-13817,1,11.633671,0.9356094639113507,409,15
LA110489-0092,0,11.46385,0.8162934112301201,409,15
LA041689-0098,0,11.176984,0.7710294784580499,409,15
FBIS4-64577,1,12.05719,0.8732378057606022,410,15
FBIS3-59001,1,11.296025,0.9232732509062019,410,15
FT931-16236,0,11.077779,0.9847809286011534,410,15
FBIS3-39341,1,10.944582,0.848496154475536,410,15
FT932-16523,1,10.917326,0.9058486465125468,410,15
LA101289-0146,1,18.396696,0.8845598845598845,411,15
FT922-4205,1,17.11045,0.913032153032153,411,15
FT934-6249,0,15.800142,0.8252204585537918,411,15
LA050490-0070,0,15.5291195,0.9074009044958766,411,15
LA041589-0050,1,15.266436,0.8925485387287961,411,15
LA041890-0141,0,8.366061,0.6519354699191211,412,15
FT933-6584,1,8.080351,0.8025082888856855,412,15
LA021489-0071,1,8.027657,0.7430615164520743,412,15
FBIS4-1468,1,7.752486,0.7896055929296928,412,15
FT943-8889,0,7.5650406,0.9013814399479928,412,15
FBIS4-51135,0,8.786941,0.8441361496479607,413,15
FT943-2620,0,8.498466,0.8317767339043934,413,15
FBIS3-7699,0,8.378071,0.9689594356261024,413,15
FBIS3-40861,0,8.363681,0.6987104219980933,413,15
FBIS4-27541,0,8.3462105,0.4574304322084074,413,15
LA040590-0222,0,14.256916,0.825316851822876,414,15
FT921-9644,1,13.95374,0.8268338434198836,414,15
LA061890-0107,0,13.594603,0.8450118508942038,414,15
FT921-8261,0,13.446551,0.9333143993183755,414,15
FT943-11487,0,13.357056,0.8144378144378145,414,15
FT921-3261,1,16.829954,0.9161663652802894,415,15
FBIS3-60083,1,16.679523,0.8561710398445092,415,15
FBIS3-60025,1,15.317625,0.9035020100294252,415,15
FBIS4-2802,1,14.865173,0.7492452672837963,415,15
FBIS4-21166,1,14.74885,0.8079512175552613,415,15
FBIS3-45089,0,11.886904,0.8857142857142858,416,15
FBIS3-25805,0,11.684843,0.7455522170627333,416,15
FBIS4-66355,1,11.587604,0.6610321969696971,416,15
FBIS3-46276,1,11.393773,0.7804699365674976,416,15
FBIS3-3711,0,11.3775835,0.8386147186147187,416,15
LA092989-0114,1,6.5508046,0.9280226588776775,417,15
FBIS4-25449,0,6.510442,0.8195150880865166,417,15
