doc_id,doc_rel,doc_score,ktau,query_id,top_feat
LA022790-0091,0,9.807556,0.9059897879025923,401,20
FBIS3-20090,1,9.290847,0.9244753675232859,401,20
FT941-4506,0,9.233107,0.9297921028287649,401,20
FBIS4-18372,0,9.083562,0.9644589000591365,401,20
FT924-4470,1,8.691005,0.9089134125636672,401,20
LA101290-0115,1,11.674699,0.8697689345314507,402,20
LA072489-0053,0,10.390393,0.8905062231400347,402,20
LA100890-0105,0,9.990089,0.7966610562707547,402,20
LA030690-0022,0,9.987107,0.8937656349634572,402,20
LA020789-0112,0,9.914637,0.8513844853096598,402,20
LA030689-0082,0,10.093675,0.8943324854888149,403,20
LA083089-0024,0,9.708849,0.8416800735463112,403,20
FR940525-1-00062,1,9.441388,0.8759306803594352,403,20
LA071290-0133,1,9.441388,0.8832171172031713,403,20
FR940525-1-00078,1,9.323615,0.8262016487000634,403,20
FBIS4-14340,0,11.890872,0.9152214236030606,404,20
FT934-17386,0,11.085657,0.8503787506148549,404,20
FT934-8237,0,10.767681,0.8981921979067554,404,20
FT934-9649,0,10.700646,0.9146834829008005,404,20
FT934-17378,0,10.673793,0.8336688716326335,404,20
FBIS3-42549,0,12.6898575,0.8495186684660369,405,20
FBIS3-59742,0,11.0759945,0.8984194561226119,405,20
FBIS3-40213,0,10.533146,0.9093175010697475,405,20
FBIS3-42550,0,10.375032,0.9126617135137943,405,20
LA012289-0002,0,10.119149,0.9098215878679751,405,20
LA121189-0042,0,14.436002,0.8931876474812763,406,20
FT922-4560,0,13.775206,0.9109167577697954,406,20
LA051790-0095,1,13.43512,0.8989613723888434,406,20
LA111589-0149,0,13.344221,0.8639429455992924,406,20
LA080489-0045,1,13.305286,0.9726171921831914,406,20
LA050889-0063,1,15.4146805,0.8257211656592461,407,20
LA012589-0100,1,13.370525,0.915549146839702,407,20
FT941-15416,1,13.210795,0.79566995177186,407,20
LA012489-0067,0,13.210795,0.9082217973231358,407,20
FT921-6003,1,13.190692,0.8343406043626176,407,20
LA060689-0099,0,14.307083,0.8183978017332488,408,20
LA082189-0033,0,14.284037,0.8473869532987398,408,20
LA082889-0052,0,13.61459,0.910740568234746,408,20
FT923-1747,1,13.408705,0.9169277360066835,408,20
LA092390-0028,1,13.408705,0.9324161566707466,408,20
FT941-758,1,13.520545,0.8813491038686018,409,20
FT923-13692,1,12.870329,0.8536746411483255,409,20
FT923-13817,1,11.633671,0.8712700027749514,409,20
LA110489-0092,0,11.46385,0.8752153110047847,409,20
LA041689-0098,0,11.176984,0.8374155232439073,409,20
FBIS4-64577,1,12.05719,0.8546472564389698,410,20
FBIS3-59001,1,11.296025,0.8897844241600311,410,20
FT931-16236,0,11.077779,0.8207862588408193,410,20
FBIS3-39341,1,10.944582,0.9237536656891495,410,20
FT932-16523,1,10.917326,0.9427487213331135,410,20
LA101289-0146,1,18.396696,0.8347687400318979,411,20
FT922-4205,1,17.11045,0.8795978710821999,411,20
FT934-6249,0,15.800142,0.8935195809428785,411,20
LA050490-0070,0,15.5291195,0.24856249679700712,411,20
LA041589-0050,1,15.266436,0.9325184362056774,411,20
LA041890-0141,0,8.366061,0.9074462531441317,412,20
FT933-6584,1,8.080351,0.8543251461988305,412,20
LA021489-0071,1,8.027657,0.9056339301862905,412,20
FBIS4-1468,1,7.752486,0.8785710149962366,412,20
FT943-8889,0,7.5650406,0.8046609470384425,412,20
FBIS4-51135,0,8.786941,0.8577430770094927,413,20
FT943-2620,0,8.498466,0.8509496882702625,413,20
FBIS3-7699,0,8.378071,0.7978333812673761,413,20
FBIS3-40861,0,8.363681,0.9005754385964914,413,20
FBIS4-27541,0,8.3462105,0.8579824561403507,413,20
LA040590-0222,0,14.256916,0.9101511416014579,414,20
FT921-9644,1,13.95374,0.881457807103459,414,20
LA061890-0107,0,13.594603,0.7676548691828827,414,20
FT921-8261,0,13.446551,0.9016018306636157,414,20
FT943-11487,0,13.357056,0.8522615854222552,414,20
FT921-3261,1,16.829954,0.9405238214018458,415,20
FBIS3-60083,1,16.679523,0.9494995156603164,415,20
FBIS3-60025,1,15.317625,0.7364217389439369,415,20
FBIS4-2802,1,14.865173,0.9090307112684096,415,20
FBIS4-21166,1,14.74885,0.8882972136222909,415,20
FBIS3-45089,0,11.886904,0.8899521531100478,416,20
FBIS3-25805,0,11.684843,0.8946903169526025,416,20
FBIS4-66355,1,11.587604,0.926489524782831,416,20
FBIS3-46276,1,11.393773,0.8313594503030014,416,20
FBIS3-3711,0,11.3775835,0.9012089174902322,416,20
LA092989-0114,1,6.5508046,0.8804730522704702,417,20
FBIS4-25449,0,6.510442,0.8737612558385901,417,20
LA092989-0098,1,6.3569546,0.9602095285607384,417,20
FT931-3244,0,6.223255,0.8935742340926945,417,20
LA082990-0115,0,6.203093,0.8517038669973362,417,20
LA102189-0167,1,9.719133,0.8302970541106865,418,20
LA051889-0088,1,9.578237,0.8674454428754814,418,20
LA022490-0006,0,9.041793,0.8510433979686057,418,20
LA081189-0137,1,9.041793,0.8660715263705571,418,20
LA060890-0112,1,9.031743,0.8873417721518988,418,20
FBIS3-41645,0,14.722347,0.6191276449469102,419,20
FBIS3-41503,0,14.377756,0.8410799726589201,419,20
LA040190-0174,1,13.241081,0.8706119951040392,419,20
FBIS4-67400,0,12.673786,0.9231786827931588,419,20
LA020890-0157,0,12.07088,0.831035711105174,419,20
LA121590-0108,1,20.49439,0.8574189711567053,420,20
LA011690-0088,0,20.386726,0.8933922031006974,420,20
LA010390-0086,1,19.058653,0.8544891640866872,420,20
LA011989-0129,1,18.77626,0.9110312682074189,420,20
LA020689-0022,1,18.654099,0.9593066636055789,420,20
FT931-2779,0,12.33889,0.8370722725180297,421,20
FT933-4383,0,11.8105,0.8171329756573404,421,20
FBIS4-53866,0,11.026218,0.7523415507975775,421,20
LA040790-0126,0,11.001229,0.8697183841366944,421,20
FBIS3-22152,0,10.826214,0.9048720527433233,421,20
LA062890-0110,0,12.604323,0.879988325712618,422,20
FT944-2627,0,12.381614,0.9691390191650744,422,20
